일반음식점,명륜진사갈비대구동천점,대구광역시 북구 동암로 110  빅타운 2층 204호 (동천동),대구광역시 북구 동천동 896-1 빅타운 ,2021-07-14
휴게음식점,샐러드톡,대구광역시 북구 중앙대로 570  1층 107(일부)호 (침산동  침산동 삼정 그린코아),대구광역시 북구 침산동 101-1 침산동 삼정 그린코아 ,2021-07-14
일반음식점,호식이두마리치킨(매천점),대구광역시 북구 학정로 11 (태전동),대구광역시 북구 태전동 687-21 ,2021-07-14
일반음식점,신참떡뽁이,대구광역시 북구 성북로 8  101동 14호 (침산동  침산2지구상가),대구광역시 북구 침산동 456-7 참산2지구상가 101동 14호,2021-07-14
일반음식점,닭포,대구광역시 북구 학정로106길 21  1층 (학정동),대구광역시 북구 학정동 930-12 ,2021-07-14
일반음식점,낮밤식당,대구광역시 북구 경대로7길 16 (대현동),대구광역시 북구 대현동 17-21 ,2021-07-14
일반음식점,맛나식당,대구광역시 북구 칠성로19길 11 (칠성동2가),대구광역시 북구 칠성동2가 412-32 ,2021-07-14
일반음식점,황해도식당,대구광역시 북구 칠성시장로5길 22 (칠성동1가),대구광역시 북구 칠성동1가 81 ,2021-07-14
일반음식점,흥구반점,대구광역시 북구 산격로 96 (산격동),대구광역시 북구 산격동 1232-1 ,2021-07-14
일반음식점,토끼정,대구광역시 북구 호암로 51  창조캠퍼스 파크몰A동 2층 (침산동),대구광역시 북구 침산동 1757 ,2021-07-14
일반음식점,경상도해장국,대구광역시 북구 구리로 183 (국우동),대구광역시 북구 국우동 737-6 ,2021-07-14
휴게음식점,헬륨카페(HELIUM CAFE),대구광역시 북구 노원로10길 40  상가동 1층 107호 (노원동3가  LH천년나무),대구광역시 북구 노원동3가 1227 ,2021-07-14
일반음식점,삼육구(3.6.9)차차,대구광역시 북구 동북로 265-1 (복현동),대구광역시 북구 복현동 340-4 ,2021-07-14
일반음식점,레꼬마피자,대구광역시 북구 매전로 12 (매천동),대구광역시 북구 매천동 679 ,2021-07-14
휴게음식점,포포케익엔와플, ,대구광역시 북구 칠성동1가 276-1 칠성야시장 퓨전3호 ,2021-07-14
일반음식점,카페도도,대구광역시 북구 옥산로 90-5  1 2층 (고성동3가),대구광역시 북구 고성동3가 25-6 1 2층 ,2021-07-14
일반음식점,신비한바닷길해산물,대구광역시 북구 학정로 518  1층 (학정동),대구광역시 북구 학정동 941-7 ,2021-07-14
일반음식점,민지네산오징어,대구광역시 북구 대천로 35 (읍내동),대구광역시 북구 읍내동 1073 ,2021-07-14
휴게음식점,더벤티칠곡운암역점,대구광역시 북구 구암로 139 (동천동),대구광역시 북구 동천동 878-2 ,2021-07-14
일반음식점,투투치킨호프,대구광역시 북구 칠곡중앙대로43길 16 (태전동),대구광역시 북구 태전동 508-1 ,2021-07-14
일반음식점,오부장보쌈족발침산점,대구광역시 북구 고성북로 23-10  1층 (고성동3가),대구광역시 북구 고성동3가 97-5 ,2021-07-14
일반음식점,향미정,대구광역시 북구 조야로8길 8 (조야동),대구광역시 북구 조야동 101-8 ,2021-07-14
일반음식점,낭만 짚불구이 칠곡점,대구광역시 북구 동천로 128-9  1층 (동천동),대구광역시 북구 동천동 898-2 ,2021-07-14
일반음식점,재희식당,대구광역시 북구 팔달북로7길 11 (노원동3가),대구광역시 북구 노원동3가 702-1 ,2021-07-14
일반음식점,돌섬회집,대구광역시 북구 신천동로 734-1 (대현동),대구광역시 북구 대현동 480-10 ,2021-07-14
일반음식점,노메,대구광역시 북구 팔거천동로 134 (동천동 (1층)),대구광역시 북구 동천동 935-11 (1층) ,2021-07-14
일반음식점,굽네치킨산격점,대구광역시 북구 동북로 131  1층 (산격동),대구광역시 북구 산격동 1838 ,2021-07-14
일반음식점,아지트,대구광역시 북구 대현로9길 49-10 (대현동),대구광역시 북구 대현동 256-9 ,2021-07-14
일반음식점,금보푸드,대구광역시 북구 팔거천동로4길 21  1층 (구암동),대구광역시 북구 구암동 665-6 ,2021-07-14
일반음식점,오떡날,대구광역시 북구 칠곡중앙대로69길 9-15 (태전동),대구광역시 북구 태전동 984 ,2021-07-14
일반음식점,쿵쿵매점1,대구광역시 북구 고성로 191  주경기장 2층 매점1호 (고성동3가),대구광역시 북구 고성동3가 2 ,2021-07-14
일반음식점,순남시래기침산점,대구광역시 북구 호암로 51  파크몰 B동 1층 3호 (침산동),대구광역시 북구 침산동 1757 ,2021-07-14
휴게음식점,GS동변원룸점,대구광역시 북구 동변로15길 14  1층 (동변동),대구광역시 북구 동변동 662-9 ,2021-07-14
일반음식점,장미식당,대구광역시 북구 노원로 196 (침산동),대구광역시 북구 침산동 1026-1 ,2021-07-14
일반음식점,우진푸드,대구광역시 북구 대천로 13  1층 (읍내동),대구광역시 북구 읍내동 1336-12 ,2021-07-14
일반음식점,청송추어탕,대구광역시 북구 노원로1길 103  1층 (노원동3가),대구광역시 북구 노원동3가 212 ,2021-07-14
유흥주점영업,백만불,대구광역시 북구 대현로 118 (대현동),대구광역시 북구 대현동 270-3 ,2021-07-14
휴게음식점,피씨인(PC IN),대구광역시 북구 칠곡중앙대로 629  2층 (읍내동),대구광역시 북구 읍내동 304-1 ,2021-07-14
일반음식점,펍앤롤,대구광역시 북구 경진로 13 (복현동),대구광역시 북구 복현동 410-5 ,2021-07-14
일반음식점,경대이모,대구광역시 북구 경대로5길 5 (대현동),대구광역시 북구 대현동 14-14 ,2021-07-14
일반음식점,태성각,대구광역시 북구 대천로18길 22-1 (동천동),대구광역시 북구 동천동 945-4 ,2021-07-14
일반음식점,진성,대구광역시 북구 대불서길 50  1층 (산격동),대구광역시 북구 산격동 460-1 (1층) ,2021-07-14
일반음식점,비비큐(BBQ)칠성점,대구광역시 북구 호암로 20  123동 1층 103호 (칠성동2가  성광우방타운),대구광역시 북구 칠성동2가 127 성광우방타운 ,2021-07-14
일반음식점,비해피(Be happy),대구광역시 북구 동암로38길 3-5 (구암동),대구광역시 북구 구암동 774-2 ,2021-07-14
일반음식점,도깨비돼지국밥,대구광역시 북구 매전로 72-17 (태전동),대구광역시 북구 태전동 1119 ,2021-07-14
위탁급식영업,이삭푸드서비스(주)대구도시공사,대구광역시 북구 침산로 73 (고성동3가),대구광역시 북구 고성동3가 1-1 ,2021-07-14
일반음식점,보쿠타치,대구광역시 북구 동천로 125-16 (동천동),대구광역시 북구 동천동 904-1 ,2021-07-14
일반음식점,몽땅(MONTANT),대구광역시 북구 대현로19길 5-2  1층 (대현동),대구광역시 북구 대현동 206-18 ,2021-07-14
일반음식점,대구만두침산점,대구광역시 북구 침산남로 165  1층 (침산동),대구광역시 북구 침산동 217-3 ,2021-07-14
일반음식점,노곡반점,대구광역시 북구 노곡로3길 2-1 (노곡동  289-1),대구광역시 북구 노곡동 287  289-1 ,2021-07-14
