구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
달서서,송현2동 1930-24번지해동목욕탕 앞, 송현2동 1919-4번지 스피드매이트 카센타앞 (청구제네스101동 건너편),양측,500,21:00,7:00,0:00,0:00,0:00,0:00,
달서서,진천네거리,상인동 외환은행 월배역지점 4R 교차로,양측,860,"12:00, 21:00","15:00, 07:00","12:00, 21:00","15:00, 07:00",0:00,0:00,
달서서,본리4R,본리 공원 3R,양측,390,"11:00, 21:00","16:00, 07:00","11:00, 21:00","16:00, 07:00",0:00,0:00,
달서서,도원 우체국4R,대곡초등4R,양측,560,"11:00, 20:00","15:00, 07:00","11:00, 20:00","15:00, 07:00",0:00,0:00,
달서서,상인4R,송현동 대서중학교,양측,670,21:00,7:00,0:00,0:00,0:00,0:00,"1.5톤초과화물차, 15인이상승합차"
달서서,송현동 대서 중학교,송현동 청구제네스 101동,양측,405,21:00,7:00,0:00,0:00,0:00,0:00,"1.5톤초과화물차, 15인이상승합차"
달서서,유천교 4R, 월배기지창 4R,양측,920,"11:00, 20:00","15:00, 07:00",0:00,0:00,0:00,0:00,
달서서,상인남4R(편측은 상인남4R ),대동시장 4R(편측은 대동시장 입구 엘지약국까지),양측,554,22:00,7:00,,,,,
달서서,진천 네거리,진천 남 네거리,양측,500,21:00,7:00,,,,, 1.5톤 이상 차량
달서서,삼성래미안1차 102동,대진중학교,양측,180,21:00,7:00,,,,,"1.3톤초과화물차, 15인이상승합차"
달서서,대곡화성파크드림101동,월배동화타운앞,편측,200,21:00,7:00,,,,,"1.1톤초과화물차, 13인이상승합차"
달서서,대곡화성파크드림106동,이오스@ 102동,편측,250,21:00,7:00,,,,,"1.1톤초과화물차, 13인이상승합차"
달서서,달서구 본동 월성주공 503동,달서구 본동 월성주공 북편,양측,600,"09:30, 19:00","16:00, 07:00",0:00,0:00,0:00,0:00,"1.5톤이상 화물차, 15인이상승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,진천남네거리(고려자동차운전학원),아람주공 903동,양측,860,"12:00, 21:00","14:00, 07:00",,,,,(1.5톤조업화물차량 15분내 항시허용)
달서서,성서4차 첨단로 392 평화정공남편,대천동 월천공원,양측,1900,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"2.5톤이상 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,달서구 성서4차첨단로 122-11 대구 경북중소기업청 동편,달서구 성서4차첨단로 206 코레카 ,양측,1680,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,성서공단네거리 남편,성서로 94,양측,2000,"11:00, 20:00","14:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,달서구 성서4차첨단로 392 평화정공,달서구 성서4차첨단로 103 제우테크노,양측,2000,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"3.6톤초과 화물차, 36인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,달서구 성서4차첨단로 122-11 대구경북지방중소기업청,달서구 성서4차첨단로 174 세광전자 ,양측,1000,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"3.6톤초과 화물차, 36인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,달서구 푸드웰 성서서로 111 ,달서구 푸드웰 성서서로 6,양측,2400,0:00,0:00,,,,,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,송현동 송현주공301동,송현동 화성파크 2101동(송현로7길),양측,800,"12:00, 21:00","14:00, 07:00 (황색복선구간 절대금지)",,,,,"1.4톤초과 화물차, 15인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
달서서,달서구 성서4차첨단로 10 북동편,달서구 성서4차첨단로 10 북동편,양측,130,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"2.5톤초과 화물차, 30인초과승합차 (1.5톤 이하 조업화물차량15분내 항시허용) "
달서서,달서구 월배로39길 10 ,달서구 월배로 199-31,편측,55,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.5톤초과 화물차, 30인승초과승합차"
달서서,달서구 조암로 월성푸르지오@103동 남편(황소고집식당),달서구조암로6길5-39,편측,330,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.5톤초과 화물차, 30인승초과승합차"
달서서,달서구 본리동 본리초교 남편(정문입구),달서구 본리동 본리초교 남편(정문입구),양측,20,"09:00, 17:00","12:00, 07:00",0:00,0:00,0:00,0:00,"1.1톤초과 화물차, 16인승초과승합차"
달서서,달서구 상화로 21길111-6 진천스크린골프 남편 동,달서구 상화로 21길111-6 진천스크린골프 남편 서,편측,80,"09:00, 20:00","17:00, 07:30 ",0:00,0:00,0:00,0:00,"1.5톤초과 화물차, 30인승초과승합차"
